//Schallmar : Part.1
3941,Foreman,Foreman,Foreman,50,24000,5400,0,0,2,3200,1700,30,10,80,20,20,20,53,20,10,12,1,7,60,133,120,490,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3942,Oikarie,Oikarie,Oikarie,70,95000,5400,0,0,2,5000,3500,40,35,120,30,50,20,50,20,10,12,1,3,60,1413,120,390,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3943,Pirate,Pirate,Pirate,35,3200,5400,0,0,2,600,200,10,15,40,20,5,5,15,8,10,12,1,2,60,149,150,590,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3944,BrightSilver,BrightSilver,BrightSilver,99,120000,5400,0,0,2,8000,4500,70,70,100,65,40,20,72,20,10,12,2,7,60,2213,120,430,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3945,Brizan Pirate,Brizan Pirate,Brizan Pirate,42,4200,5400,0,0,2,1200,800,12,12,55,48,2,2,30,82,10,12,2,7,60,133,120,540,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3946,Esclavagist,Esclavagist,Esclavagist,30,2800,5400,0,0,2,2500,1400,30,35,70,50,12,12,10,5,10,12,2,7,60,405,150,1400,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,Rjackam,Rjackam,Rjackam,78,72050,5400,0,0,2,8200,4300,60,20,120,52,8,102,52,2,10,12,1,3,60,1205,140,530,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3948,Jan Vaneyeck,Jan Vaneyeck,Jan Vaneyeck,86,36000,5400,0,0,2,25000,12000,45,21,40,99,5,5,20,99,10,12,0,7,64,389,150,890,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3949,Mage Gannik,Mage Gannik,Mage Gannik,86,50000,5400,0,0,2,0,0,70,70,10,62,15,99,99,5,10,12,2,5,60,133,120,890,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3950,Militiaman of Brynnlaw,Militiaman of Brynnlaw,Militiaman of Brynnlaw,36,8200,5400,0,0,2,2200,500,30,40,60,20,4,5,50,56,10,12,0,3,60,133,132,460,2040,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
